,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,type_token_ratio,dependency_depth_mean,dependency_depth_std,file_name,n_tokens_once_in_courpus,text_type,Number
52,911,364,0.3995609220636663,4172,51,4.433589462129528,4.0,2.7877204790328887,17.862745098039216,17.0,10.726583447884826,3.1176101603245527,1.3649453324712633,0.39177299229169105,0.08816711784660575,0.3995609220636663,4.647058823529412,1.5316725372107691,mijn_heer_zak_met_rijst,63,fairy tale,1
53,878,308,0.35079726651480636,4485,51,5.037585421412301,4.0,3.652901564755341,17.215686274509803,18.0,10.570609876278581,2.68499753603056,1.3947035038458429,0.3724404156917358,0.12759122486501673,0.35079726651480636,4.745098039215686,2.0564879375885323,milankovićparameters,63,technical text,25
54,954,385,0.40356394129979034,5026,45,5.1582809224318655,4.0,3.4943949699766184,21.2,19.0,14.628131193772575,3.0108865592791023,1.0803788214424606,0.3452761742600141,0.10993474037128843,0.40356394129979034,5.044444444444444,1.9316723388533983,natuurlijke_selectie,83,technical text,24
55,1155,503,0.4354978354978355,6450,57,5.458008658008658,4.0,3.9010170080242834,20.263157894736842,20.0,12.787776943257489,2.848523242463661,1.3223431627070872,0.4120532391034756,0.12060100012569339,0.4354978354978355,4.859649122807017,1.8395136322411378,neoclassicisme,201,technical text,33
56,1021,479,0.4691478942213516,6090,40,5.804113614103819,5.0,4.216104417257614,25.525,23.0,15.965568420823608,3.6041930913519296,1.479681976027885,0.3766008478163694,0.09737281664056485,0.4691478942213516,5.575,1.8423829677892705,nomadisch_pastoralisme,187,technical text,30
57,1301,473,0.3635664873174481,7726,85,5.812451960030746,5.0,4.0325575734041275,15.305882352941177,15.0,9.28125692478159,2.4491314032174354,1.2016375617684678,0.34434502292042785,0.1485213013973294,0.3635664873174481,4.4,2.109920544921622,ongeslachtelijke_voortplanting,144,technical text,35
58,991,419,0.4228052472250252,4845,52,4.726538849646821,4.0,3.0943606184456223,19.057692307692307,17.0,10.183722799603865,3.1595131515564225,1.0562809261049328,0.3889353323548572,0.07386670365048402,0.4228052472250252,4.923076923076923,1.356553237580646,ontstaanslegende_azteken,126,history,40
59,927,345,0.37216828478964403,4543,50,4.8122977346278315,4.0,3.443697212549452,18.54,18.0,8.917869700774956,2.8476055276717096,1.0231621197175829,0.39415608174708894,0.10200427413991596,0.37216828478964403,4.58,1.6624078921853085,operatie_wintergewitter,89,history,55
60,1160,468,0.40344827586206894,5965,64,5.022413793103448,4.0,3.4490649959107245,18.125,18.5,10.859183901196259,2.8392898439447762,1.2643493042742397,0.35878457310409295,0.12482762545392088,0.40344827586206894,4.578125,1.8775373456671907,permafrost,131,technical text,27
61,1024,356,0.34765625,4500,57,4.2861328125,4.0,2.393261023396913,17.964912280701753,17.0,9.611697756600295,3.106205456352163,1.0775501985270792,0.37914537138065135,0.07929058379332626,0.34765625,4.912280701754386,1.6035126108441897,shes_the_one,64,synopsis movie,63
