"","story_name","document_id","word","word_n","paragraph_n","number_word","lp_GroNLP_gpt2.medium.dutch.embeddings","lp_GroNLP_gpt2.small.dutch","lp_yhavinga_gpt2.large.dutch","lp_yhavinga_gpt.neo.125M.dutch","zipf_freq","zero_freq","lp_BramVanroy_fietje.2","sd_lp","se_lp","wl","s_lp","s_wl","s_freq","s_lp1","s_lp2","s_lp3","s_wl1","s_wl2","s_wl3","s_freq1","s_freq2","s_freq3","word_rm_punct","pos","lp"
"4463","violetta",8,"vanwege",48,2,277,-6.33730173110962,-7.25662660598755,-5.56739807128906,-6.77276182174683,4.92252869302582,"False",-3.23840421621753,1.57849973624443,0.705926542541608,7,-0.295551920025514,0.568237614342746,0.0678313264466721,0.928776440685516,0.113315116421664,0.52160978660741,0.247751341240346,0.247751341240346,-0.713707478066853,-0.227294503997501,-1.5294331351631,0.921773766253515,"vanwege","ADP",-5.83449848927012
"4464","violetta",8,"zijn",49,2,278,-2.57259774208069,-1.75666129589081,-1.12826895713806,-1.14458620548248,6.89763905662365,"False",-0.885272217798047,0.681671162733219,0.30485261163456,4,0.871444022476118,-0.393221204964453,0.952258091962562,-0.295551920025514,0.928776440685516,0.113315116421664,0.568237614342746,0.247751341240346,0.247751341240346,0.0678313264466721,-0.227294503997501,-1.5294331351631,"zijn","AUX",-1.49747728367802
"4465","violetta",8,"geld.",50,2,279,-5.96325081586838,-7.91436505317688,-5.50138467550278,-7.39048957824707,3.20060036688101,"False",-2.96738847484812,1.93849868818661,0.866922968215885,5,-0.325924672075395,-0.0727349318620536,-0.70322406772802,0.871444022476118,-0.295551920025514,0.928776440685516,-0.393221204964453,0.568237614342746,0.247751341240346,0.952258091962562,0.0678313264466721,-0.227294503997501,"geld","NOUN",-5.94737571952865
"4466","violetta",8,"Violetta",51,2,280,-2.06604889262235,-1.60243713330419,-4.38202834641561,-3.98515096306801,1.35550232686675,"True",-2.39017875412537,1.22596108805346,0.548266466131427,8,0.498047095617393,0.888723887445146,-1.5294331351631,-0.325924672075395,0.871444022476118,-0.295551920025514,-0.0727349318620536,-0.393221204964453,0.568237614342746,-0.70322406772802,0.952258091962562,0.0678313264466721,"violetta","VERB",-2.88516881790711
"4467","violetta",8,"is",52,2,281,-2.99456763267517,-3.58818745613098,-2.29056072235107,-2.146639585495,7.33211317107751,"False",-2.86616683006287,0.580363820911408,0.259546591047885,2,0.527092525378205,-1.03419375116925,1.14680951695071,0.498047095617393,-0.325924672075395,0.871444022476118,0.888723887445146,-0.0727349318620536,-0.393221204964453,-1.5294331351631,-0.70322406772802,0.952258091962562,"is","AUX",-2.77722444534302
"4468","violetta",8,"het",53,2,282,-3.88748359680176,-4.82249402999878,-3.96406412124634,-3.97387027740479,7.38423498674279,"False",-3.88741514086723,0.402023269122306,0.179790271658834,3,0.169261893820566,-0.713707478066853,1.17014893620102,0.527092525378205,0.498047095617393,-0.325924672075395,-1.03419375116925,0.888723887445146,-0.0727349318620536,1.14680951695071,-1.5294331351631,-0.70322406772802,"het","DET",-4.10706543326378
"4469","violetta",8,"hier",54,2,283,-10.2476978302002,-9.53238868713379,-3.70295715332031,-4.519118309021,6.65109141586657,"False",-1.4653035402298,3.82416253915782,1.71021747891302,4,-0.311426058687392,-0.393221204964453,0.841857510567629,0.169261893820566,0.527092525378205,0.498047095617393,-0.713707478066853,-1.03419375116925,0.888723887445146,1.17014893620102,1.14680951695071,-1.5294331351631,"hier","ADV",-5.89349310398102
"4470","violetta",8,"nooit",55,2,284,-6.76844835281372,-3.836345911026,-9.63819313049316,-6.0848593711853,6.16076524337843,"False",-6.47833442687988,2.07180087739787,0.926537519541071,5,-0.491100884253939,-0.0727349318620536,0.62229631602682,-0.311426058687392,0.169261893820566,0.527092525378205,-0.393221204964453,-0.713707478066853,-1.03419375116925,0.841857510567629,1.17014893620102,1.14680951695071,"nooit","ADV",-6.56123623847961
"4471","violetta",8,"mee",56,2,285,-6.21286344528198,-4.18196105957031,-0.0532969571650028,-0.585681259632111,6.14717894352829,"False",-0.0893165074521676,2.81502907438593,1.25891927379305,3,0.675785055780284,-0.713707478066853,0.616212561187976,-0.491100884253939,-0.311426058687392,0.169261893820566,-0.0727349318620536,-0.393221204964453,-0.713707478066853,0.62229631602682,0.841857510567629,1.17014893620102,"mee","ADP",-2.22462384582031
"4472","violetta",8,"eens",57,2,286,-4.26302671432495,-0.559688746929169,-0.0026120375841856,-0.0769263133406639,6.13995556925693,"False",-0.000793747184616223,1.84963498406241,0.827181911585058,4,1.01052164370815,-0.393221204964453,0.612978035330245,0.675785055780284,-0.491100884253939,-0.311426058687392,-0.713707478066853,-0.0727349318620536,-0.393221204964453,0.616212561187976,0.62229631602682,0.841857510567629,"eens","ADV",-0.980609511872717
"4473","violetta",8,"geweest",58,2,287,-4.78353500366211,-2.93009328842163,-7.12950325012207,-6.10857534408569,5.71231188506073,"False",-1.51526765623771,2.28884305868139,1.02360173380803,7,0.0653092247639895,0.568237614342746,0.421485181372462,1.01052164370815,0.675785055780284,-0.491100884253939,-0.393221204964453,-0.713707478066853,-0.0727349318620536,0.612978035330245,0.616212561187976,0.62229631602682,"geweest","AUX",-4.49339490850584
"4474","violetta",8,"en",59,2,288,-2.02202224731445,-1.75601267814636,-1.03714895248413,-1.31090915203094,7.14201666738946,"False",-1.13734757900238,0.420820884817524,0.188196820960719,2,0.883495789739182,-1.03419375116925,1.06168696431195,0.0653092247639895,1.01052164370815,0.675785055780284,0.568237614342746,-0.393221204964453,-0.713707478066853,0.421485181372462,0.612978035330245,0.616212561187976,"en","CCONJ",-1.45268812179565
"4475","violetta",8,"heeft",60,2,289,-4.29955577850342,-4.11756181716919,-3.76102542877197,-3.11745595932007,6.55942411744931,"False",-1.89714601635796,0.972805996123593,0.43505206725035,5,0.349144796878535,-0.0727349318620536,0.800810177852977,0.883495789739182,0.0653092247639895,1.01052164370815,-1.03419375116925,0.568237614342746,-0.393221204964453,1.06168696431195,0.421485181372462,0.612978035330245,"heeft","AUX",-3.43854900002452
"4476","violetta",8,"altijd",61,2,290,-5.08099031448364,-5.69234180450439,-4.07613563537598,-4.4006199836731,5.98682431399889,"False",-2.51356959330769,1.20272937178643,0.537876926770017,6,0.103158628436975,0.247751341240346,0.544408003354638,0.349144796878535,0.883495789739182,0.0653092247639895,-0.0727349318620536,-1.03419375116925,0.568237614342746,0.800810177852977,1.06168696431195,0.421485181372462,"altijd","ADV",-4.35273146626896
"4477","violetta",8,"ruzie",62,2,291,-6.6117582321167,-4.7788257598877,-7.10879230499268,-5.03576374053955,4.80389943032452,"False",-8.23481308436021,1.44849312306193,0.647785817621488,5,-0.435335699051617,-0.0727349318620536,0.0147108036444291,0.103158628436975,0.349144796878535,0.883495789739182,0.247751341240346,-0.0727349318620536,-1.03419375116925,0.544408003354638,0.800810177852977,1.06168696431195,"ruzie","NOUN",-6.35399062437937
"4478","violetta",8,"met",63,2,292,-0.777242600917816,-0.328071862459183,-0.107483372092247,-1.33751404285431,6.82956116709923,"False",-0.552425563335419,0.472231874818846,0.211188514647422,3,1.10740632575199,-0.713707478066853,0.921773766253515,-0.435335699051617,0.103158628436975,0.349144796878535,-0.0727349318620536,0.247751341240346,-0.0727349318620536,0.0147108036444291,0.544408003354638,0.800810177852977,"met","ADP",-0.620547488331795
"4479","violetta",8,"Jade.",64,2,293,-3.31649273633957,-7.68828558921814,-5.44968789815903,-3.73405015468597,1.35550232686675,"True",-1.93825054168701,2.21298104441602,0.989675209646538,5,0.0836176856257026,-0.0727349318620536,-1.5294331351631,1.10740632575199,-0.435335699051617,0.103158628436975,-0.713707478066853,-0.0727349318620536,0.247751341240346,0.921773766253515,0.0147108036444291,0.544408003354638,"jade","NOUN",-4.42535338401794
