"","X","story_name","document_id","word","word_n","paragraph_n","lp","wl","s_lp","s_lp1","s_lp2","s_lp3","s_wl","s_wl1","s_wl2","s_wl3","number_word","word_rm_punct","pos","lp_quantile"
"4812",4812,"practice story de uil",11,"aankondigde",25,0,-12.391074180603,11,-1.72915176191773,-0.428557477652852,0.549547388376784,-0.225321025411991,1.85004270602356,0.568070415811847,-0.393408801846939,-0.713901874399868,26,"aankondigde","VERB","low_lp"
"4813",4813,"practice story de uil",11,"dat",26,0,-1.16136181354523,3,0.962681262386742,-1.72915176191773,-0.428557477652852,0.549547388376784,-0.713901874399868,1.85004270602356,0.568070415811847,-0.393408801846939,27,"dat","SCONJ","high_lp"
"4814",4814,"practice story de uil",11,"er",27,0,-3.29368162155151,2,0.451550728499903,0.962681262386742,-1.72915176191773,-0.428557477652852,-1.0343949469528,-0.713901874399868,1.85004270602356,0.568070415811847,28,"er","ADV","med_lp"
"4815",4815,"practice story de uil",11,"een",28,0,-2.2057032585144,3,0.71234601796281,0.451550728499903,0.962681262386742,-1.72915176191773,-0.713901874399868,-1.0343949469528,-0.713901874399868,1.85004270602356,29,"een","DET","high_lp"
"4816",4816,"practice story de uil",11,"ondier",29,0,-15.2116231918335,6,-2.4052551853119,0.71234601796281,0.451550728499903,0.962681262386742,0.247577343258918,-0.713901874399868,-1.0343949469528,-0.713901874399868,30,"ondier","NOUN","low_lp"
"4817",4817,"practice story de uil",11,"in",30,0,-5.65522909164429,2,-0.114527124669897,-2.4052551853119,0.71234601796281,0.451550728499903,-1.0343949469528,0.247577343258918,-0.713901874399868,-1.0343949469528,31,"in","ADP","med_lp"
"4818",4818,"practice story de uil",11,"de",31,0,-0.418885499238968,2,1.14065752725319,-0.114527124669897,-2.4052551853119,0.71234601796281,-1.0343949469528,-1.0343949469528,0.247577343258918,-0.713901874399868,32,"de","DET","high_lp"
"4819",4819,"practice story de uil",11,"schuur",32,0,-1.28676462173462,6,0.932621416738784,1.14065752725319,-0.114527124669897,-2.4052551853119,0.247577343258918,-1.0343949469528,-1.0343949469528,0.247577343258918,33,"schuur","NOUN","high_lp"
"4820",4820,"practice story de uil",11,"zat.",33,0,-5.12576764822006,4,0.0123881294274496,0.932621416738784,1.14065752725319,-0.114527124669897,-0.393408801846939,0.247577343258918,-1.0343949469528,-1.0343949469528,34,"zat","VERB","med_lp"
"4821",4821,"practice story de uil",11,"'Jawel,'",34,0,-14.1563580036163,8,-2.15230145059517,0.0123881294274496,0.932621416738784,1.14065752725319,0.888563488364776,-0.393408801846939,0.247577343258918,-1.0343949469528,35,"jawel","ADV","low_lp"
"4822",4822,"practice story de uil",11,"zei",35,0,-0.277917563915253,3,1.17444843224427,-2.15230145059517,0.0123881294274496,0.932621416738784,-0.713901874399868,0.888563488364776,-0.393408801846939,0.247577343258918,36,"zei","VERB","high_lp"
"4823",4823,"practice story de uil",11,"zijn",36,0,-4.73539161682129,4,0.105963731265544,1.17444843224427,-2.15230145059517,0.0123881294274496,-0.393408801846939,-0.713901874399868,0.888563488364776,-0.393408801846939,37,"zijn","AUX","med_lp"
"4824",4824,"practice story de uil",11,"meester,",37,0,-1.60208106040955,8,0.857038073640778,0.105963731265544,1.17444843224427,-2.15230145059517,0.888563488364776,-0.393408801846939,-0.713901874399868,0.888563488364776,38,"meester","NOUN","high_lp"
"4825",4825,"practice story de uil",11,"'ik",38,0,-2.29809886217117,3,0.690198207841382,0.857038073640778,0.105963731265544,1.17444843224427,-0.713901874399868,0.888563488364776,-0.393408801846939,-0.713901874399868,39,"ik","PRON","high_lp"
